id
"seino,ken-ichiro"
"setoguchi,ruka"
"tamura,yuki"
"tanaka,masato"
"taniguchi,masaru"
"taniuchi,ichiro"
"teng,annabelle"
"watanabe,takeshi"
"watarai,hiroshi"
"yamasaki,sho"
"ohara,osamu"
"husmeier,d"
"jansen,rc"
"li,lx"
"li,m"
"arjas,e"
"ochs,mf"
"strimmer,k"
"trubuil,a"
"yandell,bs"
"steel,mfj"
"speed,tp"
"lopez-fidalgo,j"
"weir,bs"
"nason,gp"
"glasbey,ca"
"jain,an"
"knott,sa"
"nielsen,r"
"terbraak,cajoj.f."
"beaumont,ma"
"bretz,frank"
"lingjaerde,oc"
"li,kc"
"cardon,lr"
"sha,n"
"wit,e"
"holling,h"
"wong,wengkee"
"gilmour,steveng."
"gallo,paul"
"ramsay,jameso."
"stephens,m"
"bauer,peter"
"manski,cf"
"stenseth,nc"
"mcdonald,jw"
"atkinson,ac"
"greenland,sander"
"little,rja"
"militino,af"
"gray,a"
"marshall,c"
"xia,yingcun"
"koopman,siemjan"
"goos,peter"
"tsai,pi-wen"
"skinner,cj"
"jennison,c"
"ni,lq"
"molchanov,i"
"ferguson,c.a."
"steinberg,davidm."
"scott,e.marian"
"purutcuoglu,vilda"
"ortega,edwin"
"drezner,z"
"berger,martijnp.f."
"dufour,jean-marie"
"vandebroek,m"
"mackinnon,jamesg."
"robinson,timothyj."
"angulo,jm"
"woodall,williamh."
"montanero,j."
"sisson,s.a."
"yu,km"
"amendola,alessandra"
"herzberg,am"
"haines,lindam."
"proietti,tommaso"
"so,mikek.p."
"boukouvalas,a."
"murthy,ca"
"billio,monica"
"ruiz,marcelo"
"stallard,nigel"
"chen,cws"
"koop,g"
"francq,christian"
"vandijk,hermank."
"mylona,kalliopi"
"rombouts,jeroenv.k."
"kontoghiorghes,erricosjohn"
"diebold,francisx."
"engle,robert"
"harvey,andrew"
"deistler,manfred"
"jacquier,eric"
"judd,kenneth"
"belsley,da"
"pesaran,hashem"
"luetkepohl,helmut"
"mittnik,stefan"
"omori,yasuhiro"
"pollock,d.s.g."
"semmler,willi"
"taylor,robert"
"tzavalis,elias"
"maheu,john"
"bollerslev,t"
"zakoian,jean-michel"
"boswijk,h.peter"
"chiarella,carl"
"glimm,ekkehard"
"zamar,rubenh."
"jensen,jl"
"smucker,byranj."
"mcgrory,c.a."
"longford,nt"
"nguyen,t.d."
"goldstein,h"
"ferre,l"
"berman,m"
"durrant,gabrieleb."
"vandenbrakel,j.a."
"smith,paula."
"king,thomas"
"smith,peterw.f."
"longford,nicholast."
"linney,ad"
"jones,bradley"
"brockwell,pj"
"diebold,fx"
"cox,dr"
"smith,av"
"walker,sg"
"schwabe,rainer"
"sebastiani,g"
"bartroff,jay"
"geskus,ronaldb."
"vandemeulebroecke,marc"
"zhang,wenyang"
"setodji,cm"
"spokoiny,v"
"pitt,mk"
"seaman,shaun"
"raab,gillian"
"sweeting,michael"
"calleja,neville"
"kalogeropoulos,konstantinos"
"copas,andrewj."
"elliott,duncan"
"babb,penny"
"allin,paul"
"garrett,andrew"
"appleby,wendy"
"doidge,james"
"gilbert,ruth"
"frisoli,kayla"
"garciaperez,franciscojavier"
"henry,sarah"
"hunt,ian"
"gasperoni,francesca"
"jansson,ingegerd"
"wallgren,anders"
"wallgren,britt"
"blunt,gordon"
"murtagh,fionn"
"powell,ben"
"moore,jamiec."
"zhang,li-chun"
"pilling,mark"
"barnett,arthur"
"bhansali,rajendra"
"bharadwaj,neeraj"
"nugent,rebecca"
"lara,libia"
"kumar,kuldeep"
"longford,nick"
"manninen,asta"
"mcnicholas,sharonm."
"tait,petera."
"mehew,jenny"
"oberski,daniell."
"stehlikova,silvia"
"nunezsoza,ludy"
"towers,jude"
"wijayatunga,priyantha"
"clarke,p"
"self,abigail"
"michaelson,juliet"
"haskel,jonathan"
"dorling,danny"
"leroux,brigitte"
"hall,johnf."
"rondinella,tommaso"
"ruggeri,kai"
"spence,alan"
"caan,woody"
"strelec,lubos"
"vanderweele,tylerj."
"tian,maoxi"
"zini,alessandro"
"cocchi,daniela"
"ashby,deborah"
"grant,robert"
"eames,margaret"
"fotheringham,james"
"alonsomalaver,carlos"
"gemmell,j.campbell"
"riani,m."
"kvaloy,janterje"
"jacques,richardm."
"maheswaran,ravi"
"nicholl,jon"
"morton,tony"
"playford,geoffrey"
"smith,ian"
"stein,alfred"
"ugarte,md"
"campbell,michaelj."
"smith,pwf"
"chatfield,c"
"bowman,a.w."
"curnow,rn"
"torsney,b"
"kendall,ws"
"ball,f"
"dryden,i"
"golalizadeh,m"
"kalogeropoulos,k"
"kessler,m"
"kluppelberg,c"
"kunsch,hr"
"lyons,tj"
"mamon,r"
"moller,j"
"doucet,a"
"rowlingson,b"
"chopin,n"
"connor,sb"
"casella,b"
"bingham,nh"
"clifford,p"
"pasquali,s"
"ruggeri,f"
"pavlopoulos,h"
"rousset,m"
"stramer,o"
"liao,tf"
"henderson,n"
"iwasaki,m"
"fearnside,a"
"loconte,r"
"parker,h"
"onabid,m"
"pritchard,g"
"sharif,m"
"barry,s"
"miller,j"
"recchia,a"
"zhu,xm"
"weir,j"
"dimairo,munyaradzi"
"julious,stevena."
"posch,martin"
"rodriguez-cortes,franciscoj."
"roes,kitc.b."
"lewis,roger"
"sverdlov,oleksandr"
"burman,carl-fredrik"
"coad,ds"
"anagnostopoulos,c."
"adragni,kofi"
"guddat,charlotte"
"radchenko,peter"
"luo,weiqi"
"baxter,pd"
"xue,jing-hao"
"tasoullis,d.k."
"buehlmann,peter"
"cornford,d"
"moulines,e"
"andrieu,c"
"abramovich,f"
"aykroyd,rg"
"meng,s"
"decanditiis,d"
"golubev,y"
"hoffman,rn"
"khabie-zeitoune,e"
"munk,a"
"kerkyacharian,g"
"haario,h"
"laine,m"
"lehtinen,m"
"evans,dj"
"paul,d"
"olhede,sc"
"picard,d"
"raimondo,m"
"ng,wj"
"opper,m"
"stoffelen,a"
"ruymgaart,fh"
"saksman,e"
"west,rm"
"tsybakov,a"
"wahba,g"
"tamminen,j"
"butucea,c"
"wolfe,pj"
"cavalier,l"
"csato,l"
"yang,lj"
"ledford,aw"
"velilla,s"
"zhang,wy"
"schoff,jr"
"critchley,f"
"chan,ks"
"cizek,p."
"cook,rd"
"nicholson,g"
"jonsson,f"
"gustafsson,o"
"griffiths,b"
"hill,wg"
"goldstein,d"
"durrett,r"
"hackett,ca"
"jin,cf"
"gaffney,pj"
"garrett,es"
"anbazhagan,r"
"gabrielson,e"
"marchini,jl"
"vetta,a"
"myers,s"
"mayer,cd"
"visscher,pm"
"ball,rd"
"maliepaard,ca"
"boer,mp"
"marcoulides,ga"
"pagel,mark"
"sillanpaa,mj"
"satagopan,jm"
"zeng,zb"
"broman,kw"
"simon,dl"
"stefansson,k"
"hodges,sd"
"fruhwirth-schnatter,s"
"grange,cwj"
"nicolato,e"
"karlsen,kh"
"reikvam,k"
"lawrance,aj"
"levendorskii,s"
"mandelbrot,bb"
"meddahi,n"
"priestley,mb"
"renault,e"
"sentana,e"
"benth,fe"
"sato,k"
"taylor,sj"
"venardos,e"
"tompkins,r"
"christensen,bj"
"veretennikov,ay"
"werker,bjm"
"davis,mha"
"ersboll,bk"
"hancock,e"
"horgan,g"
"ashburner,j"
"duta,n"
"gustafsson,j"
"hogg,d"
"koch,i"
"desouza,k"
"petrou,m"
"wilson,r"
"rudemo,m"
"ramsay,to"
"rao,mm"
"sun,cm"
"buckley,mj"
"gonzalez,jonatana."
"desousabuenofilho,juliosilvio"
"stone,mervyn"
"lu,lu"
"manteinga,wenceslaogonzalez"
"muller,wernerg."
"notz,william"
"stillman,eleanor"
"waite,timothy"
"woods,davidc."
"brien,chris"
"ceyhan,elvan"
"chatfield,marionj."
"budd,lisa"
"cook,r.dennis"
"alkema,leontine"
"chacon,je"
"carothers,ad"
"sinha,debajyoti"
"ibrahim,jg"
"davis,ra"
"colubi,ana"
"cordeiro,gm"
"withers,christophers."
"dawid,ap"
"davy,m"
"d'ercole,roberto"
"curtis,keith"
"cui,hj"
"coleman,r"
"courbin,frederic"
"dahle,hakon"
"crisan,d"
"zhao,weihua"
"corpas,manuel"
"cybulski,cezary"
"coraluppi,stefano"
"casadio,r"
"cocucci,emanuele"
"alcantara,luizc.j."
"aiba,yuichi"
