"","id","id2","comm_time"
"81",6887000763,57371945,0.27
"82",1446139963,63599201,4.9
"83",1446435590,82047556,5.67
"84",1445525096,15199217,3.88
"85",1445553503,94701935,0.22
"86",1445501480,30564404,1.07
"87",1445540011,43984768,18.35
"88",1446266538,96815582,10.65
"89",6844438114,6674859,127.1
"90",1446140867,60824745,1.37
"91",6868383823,22259498,25.68
"92",6833782681,85516654,0.88
"93",1445940915,120587761,0.93
"94",6801929856,65255907,0.68
"95",1446245269,37638,1
"96",6858574673,10107555,38.88
"97",1446692761,51337461,1.52
"98",1445850685,40034,8.13
"99",6893239971,12650794,24.12
"100",6853805608,54714294,4.47
"101",6852882146,37964088,0.7
"102",6840629429,56601848,0.78
"103",6891907744,55084181429,1.88
"104",1446673720,96819217,25.13
"105",1445692665,96193419,14.97
"106",1446456784,60164130,72.72
"107",6802311716,97905,3.43
"108",6837662570,51691087,108.7
"109",1446331654,40299762,55.23
"110",6845798255,55802523,0.4
"111",6894903534,78043661,4.6
"112",1449628756,96207516,3.32
"113",6858311000,30564013,3.98
"114",6817316661,6373958,1.48
"115",6840321807,16264811,35.15
"116",6875404215,54273122,3.47
"117",6835961522,60377487,0.75
"118",6804636546,62166103,0.23
"119",6861699426,57198673,0.92
"120",6889185223,52506003,3.62
"121",1445768613,54251499,2.65
"122",6865025327,25675132,2.88
"123",1446123236,17693951,3.35
"124",6873952183,4831205,23.48
"125",6880542867,57491801,1.28
"126",6868319021,98063455,1.37
"127",6856070655,95671467,0.17
"128",6843992556,57024957,0.98
"129",1445560982,46340658,0.32
"130",6871152115,97353962,1.22
"131",6855765473,9956157,3.95
"132",6881954912,45554656,4.5
"133",6891592906,59913181,2.45
"134",6871252405,73469438,0.47
"135",1445524313,29557807,4.75
"136",1445546241,12726469,1.35
"137",6804611869,16538896,7.25
"138",1446119418,34346661,14.55
"139",6813850392,78212423,6.37
"140",6882050353,34899993,59.58
"141",1446322733,97354792,2.32
"142",6857007325,82711209,1.1
