,index,Variance,FTest,MutuaInfo,GRA,DecisionTree,XGBoost,RandomForest,ExtraTrees,Lasso
434,MDEC-11,0.9999999999999998,1.7013366674520423,0.06288103368899733,0.8014255001631572,3.373036187103762e-05,4.7585567e-05,0.000502740494190628,0.0007101996993368422,0.07084027654849814
435,MDEC-12,0.9999999999999998,10.78163747691878,0.0892502370807331,0.8019493328926273,0.0009713071082842731,0.00089703896,0.0009144078796749853,0.0007410776992237123,0.38379195123789833
436,MDEC-13,1.0,2.8694646677482036,0.055416236048175804,0.8017156837846038,0.00016773764148822538,0.00030083957,0.0017202069972455083,0.0011900623200998062,0.008937913505771798
437,MDEC-14,1.0000000000000004,4.105240400472114,0.06529041374808808,0.8018206344957168,0.0012730009589954035,0.0,0.0005237319802297851,0.0006810147310167418,0.04273527731536404
438,MDEC-22,1.0,422.59918819208235,0.22025232658992167,0.8011997476842914,0.011505419375565639,0.0004354212,0.00216106012703368,0.0019558274850953595,0.06771404868316719
439,MDEC-23,1.0,803.4923642505256,0.28245192654460727,0.8009723014495796,0.28981600421893045,0.07999601,0.1937668977965072,0.03319168048568378,0.14055564723857733
440,MDEC-24,0.9999999999999998,2.9291606211449515,0.06815454135439314,0.8022090357404248,0.0,0.000104936924,0.001508901256297649,0.0007176455340488642,0.21602421366209879
441,MDEC-33,1.0000000000000002,133.06005983548968,0.22151338485945438,0.8014917235862749,0.0020816526575340856,0.007099683,0.007817998851518852,0.004157754118768193,0.08932540956216503
442,MDEC-34,0.9999999999999999,6.678046373171909,0.05078415058796781,0.8022223799460676,0.004227588470958641,0.008305771,0.0013510096140689207,0.0010411300808614073,0.22646263254174648
443,MDEC-44,0.9999999999999997,4.800437548652529,0.019883150050891363,0.8008926578851295,0.0,0.0,3.4317002681987e-06,0.0001790413980456127,0.03789637762673847
444,MDEO-11,0.9999999999999999,14.574484350075085,0.20976450864541007,0.8014889045087679,1.4387325994523535e-07,0.0010120998,0.002211393306965103,0.0020179810730334645,0.10788070589943674
445,MDEO-12,0.9999999999999998,16.457618357724925,0.23139096178490037,0.8022650266579211,0.020117870547995704,0.013697914,0.009697549112329985,0.004756428891506748,0.09281695860322085
446,MDEO-22,1.0000000000000002,1.2489901872686957,0.1693559791759225,0.8016860833275377,2.874518618998254e-07,0.0012122663,0.0002734196349546491,0.0005351402252304964,0.18553171287539028
447,MDEN-11,0.9999999999999998,1.8344393587618653,0.006884542565040563,0.7998368601619725,0.0,0.0,4.090540506272061e-07,4.197236536429634e-06,0.12436913185467846
448,MDEN-12,0.9999999999999999,2.4507676066794777,0.028548825133609457,0.8000785690387335,0.0,0.00014684004,7.790238584772783e-06,6.716653089847256e-05,0.04367193420033127
449,MDEN-13,1.0000000000000002,20.855449891008398,0.013951617788904525,0.799743537674538,0.0,6.172902e-05,3.082344532682213e-05,3.418219421065661e-05,0.07285512176159002
450,MDEN-22,0.9999999999999998,94.52910587323198,0.10441943292500122,0.802165936119399,1.7822218494498436e-08,0.0,5.1651443562204454e-05,0.0003369476164885332,0.4144343773907669
451,MDEN-23,1.0,107.90685562306982,0.09647043220764284,0.8021229469056056,0.0008433051108902397,0.00015744328,0.0009641166841459277,0.0009799139992472368,0.134847600469005
452,MDEN-33,1.0,0.16820397549906774,0.08125955401035756,0.8014742581078796,0.0,0.00056042883,0.00028365383105462874,0.0009547636258719225,0.08057277096081102
453,MLFER_A,1.0,289.94306265198964,0.27484861920835124,0.8011002787496826,0.00013447299192613876,0.0072914544,0.01677819332911473,0.007824422999132954,0.059534333259643545
